Team,Division,Games,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers
Florida State (DUF),Men's,7,46,BRIAN PHILLIPS,,,6,3,,
Florida State (DUF),Men's,7,88,SCOTT MOORE,,,2,2,,
Carleton College (Syzygy),Women's,6,0,MEGAN CHAVEZ,,,11,2,1,
Carleton College (Syzygy),Women's,6,0,Camila Flowerman,,,1,,,
Carleton College (Syzygy),Women's,6,0,Ellen Jacobus,,,,,,
Carleton College (Syzygy),Women's,6,0,MADELEINE PREISS,,"5'7""",,,,
Carleton College (Syzygy),Women's,6,0,NAOMI PRICE-LAZARUS,,,2,1,,2
Carleton College (Syzygy),Women's,6,0,Laura Soter,,,1,,,
Carleton College (Syzygy),Women's,6,0,Elaine Sundberg,,"5'10""",2,,,
Carleton College (Syzygy),Women's,6,3,LEAH CROMER,,,,,,
Carleton College (Syzygy),Women's,6,5,EMILY BUCKNER,,,10,15,1,4
Carleton College (Syzygy),Women's,6,8,Caroline Sheffield,,,6,4,,
Carleton College (Syzygy),Women's,6,10,LUCIA CHILDS-WALKER,,,3,24,,4
Carleton College (Syzygy),Women's,6,12,ELIZABETH BORDEN,,,4,7,,5
Carleton College (Syzygy),Women's,6,14,Claire Rostov,,,3,2,,
Carleton College (Syzygy),Women's,6,15,Nami Sumida,,,8,3,1,2
Carleton College (Syzygy),Women's,6,21,AHNA WEEKS,,"1'0""",6,5,1,2
Carleton College (Syzygy),Women's,6,23,EMILY KAMPA,,,1,2,,
Carleton College (Syzygy),Women's,6,26,Clara Hazlett-Norman,,,,,,
Carleton College (Syzygy),Women's,6,35,Caire Thallon,,"5'8""",13,6,,2
Carleton College (Syzygy),Women's,6,45,KATIE CIAGLO,,,,1,,
Carleton College (Syzygy),Women's,6,63,JAMIE JOHNSON,,,,,,
Colorado (Mamabird),Men's,6,0,Jack Drumright,,"6'0""",,,,
Colorado (Mamabird),Men's,6,0,PATRICK ELLSWORTH,,,,,,
Colorado (Mamabird),Men's,6,0,JONATHAN STIRK,,,,,,
Colorado (Mamabird),Men's,6,1,MATTHEW ROBINSON,Handler,"6'9""",1,,,
Colorado (Mamabird),Men's,6,3,ELLIOTT WOODWARD,Handler,"6'0""",1,,,
Colorado (Mamabird),Men's,6,6,ERIK HOTALING,Defense (Handler),,,3,,
Colorado (Mamabird),Men's,6,8,PAWEL JANAS,Defense (Cutter),"5'10""",8,11,,
Colorado (Mamabird),Men's,6,9,PETER GLEASON,Defense (Cutter),"1'0""",10,6,,
Colorado (Mamabird),Men's,6,11,JOSHUA CRANE,Mid,,8,5,,
Colorado (Mamabird),Men's,6,15,MARC KAYLOR,Deep,,1,1,,
Colorado (Mamabird),Men's,6,16,TOMMY GEBHARDT,Defense (Cutter),"6'3""",,11,,
Colorado (Mamabird),Men's,6,17,TRISTAN VOSS,Handler,,2,2,,
Colorado (Mamabird),Men's,6,19,ISAAC CHESTLER,Deep,,,3,,
Colorado (Mamabird),Men's,6,21,J WESLEY CHOW,Deep,,3,9,,
Colorado (Mamabird),Men's,6,24,MATT BUBERNAK,Deep,,2,1,,
Colorado (Mamabird),Men's,6,26,STANLEY PETERSON,Mid,,10,8,,
Colorado (Mamabird),Men's,6,27,ANDREW COMMANDER,Handler,,2,,,
Colorado (Mamabird),Men's,6,28,ANDREW NELSON,Deep,"6'0""",11,5,,
Colorado (Mamabird),Men's,6,29,MATT GLEASON,Deep,,6,5,,
Colorado (Mamabird),Men's,6,32,KEVIN JOHNSON,Handler,"5'10""",10,2,,
Colorado (Mamabird),Men's,6,44,JESSE FISHER,Mid,"6'0""",,,,
Colorado (Mamabird),Men's,6,80,JEREMY HARKER,Defense (Handler),"6'2""",3,5,,
Colorado (Kali),Women's,6,3,AMY LEDER,,"5'10""",3,3,,
Colorado (Kali),Women's,6,4,NHI NGUYEN,,"5'5""",5,3,,
Colorado (Kali),Women's,6,5,LEILANI NELSON,,"5'5""",1,,,
Colorado (Kali),Women's,6,8,JEAN  RUSSELL,,,2,4,,
Colorado (Kali),Women's,6,9,KIRSTIN JOHNSON,,"5'4""",3,7,,
Colorado (Kali),Women's,6,11,MEGAN HENDERSON,,,2,,,
Colorado (Kali),Women's,6,13,JESSICA CHESNUT,,"5'4""",2,2,,
Colorado (Kali),Women's,6,15,DOROTHE FRANKLIN,,"1'0""",2,9,,
Colorado (Kali),Women's,6,16,MEGAN COUSINS,,"5'7""",10,11,,
Colorado (Kali),Women's,6,17,Melinda Alvey,,"5'8""",3,1,,
Colorado (Kali),Women's,6,19,EMMA CARR,,,4,2,,
Colorado (Kali),Women's,6,20,KENZIE WEED,,"1'0""",4,3,,
Colorado (Kali),Women's,6,24,HILARY EGAN,,"5'2""",3,2,,
Colorado (Kali),Women's,6,29,LISA DOAN,,,3,7,,
Colorado (Kali),Women's,6,32,ALANA CHEN,,"5'7""",4,,,
Colorado (Kali),Women's,6,42,KATHARINE HEIL,,"5'4""",4,10,,
Colorado (Kali),Women's,6,65,MEGAN IVES,,"5'6""",5,1,,
Colorado (Kali),Women's,6,69,SARAH FERRARO,,"5'5""",,1,,
Colorado (Kali),Women's,6,90,SONIA SZETON,,,2,,,
Colorado (Kali),Women's,6,97,CELESTE HAVENER,,,6,2,,
Colorado (Kali),Women's,6,99,KELSEY BENNETT,,,2,2,,
Massachusetts (Zoodisc),Men's,5,1,CONOR DOWLING,Deep,,1,1,,
Massachusetts (Zoodisc),Men's,5,2,Patrick Barron,Deep,"6'1""",,,,
Massachusetts (Zoodisc),Men's,5,3,ELLIOT LEE,Deep,"5'8""",1,3,,
Massachusetts (Zoodisc),Men's,5,4,CIARAN SHAUGHNESSY,Deep,"5'10""",,1,,
Massachusetts (Zoodisc),Men's,5,5,Jackson Barron,Deep,,2,2,,
Massachusetts (Zoodisc),Men's,5,7,MAXWELL PERHAM,Deep,,2,4,,
Massachusetts (Zoodisc),Men's,5,8,BEN  SADOK,Deep,"5'6""",7,8,,
Massachusetts (Zoodisc),Men's,5,10,WESLEY JOHNSON,Deep,,1,,,
Massachusetts (Zoodisc),Men's,5,11,CONOR KLINE,Deep,,12,4,,
Massachusetts (Zoodisc),Men's,5,14,GABRIEL SCHMITT,Deep,"5'11""",,,,
Massachusetts (Zoodisc),Men's,5,18,BRETT GRAMANN,Deep,"5'9""",4,16,,
Massachusetts (Zoodisc),Men's,5,19,GEORGE MILNE,Deep,,,2,,
Massachusetts (Zoodisc),Men's,5,21,MANIT MUNSHI,Deep,"6'1""",13,,,
Massachusetts (Zoodisc),Men's,5,22,BEN TSEYTLIN,Deep,,1,8,,
Massachusetts (Zoodisc),Men's,5,23,PAUL TRAVERS,Deep,"1'0""",,,,
Massachusetts (Zoodisc),Men's,5,27,DANIEL ROACH,Deep,"5'10""",,,,
Massachusetts (Zoodisc),Men's,5,28,AARON RASKIN,Deep,"6'4""",,,,
Massachusetts (Zoodisc),Men's,5,31,JEFFREY BABBITT,Deep,"6'2""",23,15,,
Massachusetts (Zoodisc),Men's,5,33,WILL THORNTON,Deep,"5'10""",,,,
Massachusetts (Zoodisc),Men's,5,34,JEFFREY DREYFUS,Deep,,1,2,,
Massachusetts (Zoodisc),Men's,5,44,GIANCARLO CINCOTTA,Deep,,2,4,,
Massachusetts (Zoodisc),Men's,5,47,ALEC ZABRECKY,Deep,,,,,
Massachusetts (Zoodisc),Men's,5,76,SOLOMON Maerowitz-McMahan,Deep,,,,,
Massachusetts (Zoodisc),Men's,5,80,Chris Bartoli,Deep,"6'0""",,,,
Massachusetts (Zoodisc),Men's,5,84,COLIN HANNAHAN,Deep,,,,,
Dartmouth (Princess Layout),Women's,6,1,SOPHIA SIU,,,3,,,
Dartmouth (Princess Layout),Women's,6,2,SARAH HEYBORNE,,,3,1,,
Dartmouth (Princess Layout),Women's,6,3,Carolyn Susman,,,8,,,
Dartmouth (Princess Layout),Women's,6,4,MADELINE PARISH,,,2,1,,
Dartmouth (Princess Layout),Women's,6,5,QINGYUN LU,,,5,,,
Dartmouth (Princess Layout),Women's,6,6,PIPER CURTIS,,,14,2,,
Dartmouth (Princess Layout),Women's,6,7,LILLIAN HUANG,,,1,,,
Dartmouth (Princess Layout),Women's,6,8,ANGELA ZHU,,"1'0""",6,27,,
Dartmouth (Princess Layout),Women's,6,9,KATY PEAKE,,,1,8,,
Dartmouth (Princess Layout),Women's,6,11,PATRICIA NECKOWICZ,,,6,3,,
Dartmouth (Princess Layout),Women's,6,14,LILY EISNER,,,,2,,
Dartmouth (Princess Layout),Women's,6,16,Gaby Javitt,,,,,,
Dartmouth (Princess Layout),Women's,6,18,ABIGAIL LEIBOWITZ,,,,,,
Dartmouth (Princess Layout),Women's,6,21,EVA PETZINGER,,,11,13,,
Dartmouth (Princess Layout),Women's,6,33,Sarah Colon,,,,,,
Dartmouth (Princess Layout),Women's,6,42,JAQUILLE JONES,,,,1,,
Dartmouth (Princess Layout),Women's,6,52,ELLEN PLANE,,"5'9""",,,,
Dartmouth (Princess Layout),Women's,6,55,JULIANNA WERFFELI,,,5,10,,
Dartmouth (Princess Layout),Women's,6,81,MAE HARDEBECK,,,,,,
Dartmouth (Princess Layout),Women's,6,88,REBECCA LEONG,,,3,3,,
Dartmouth (Princess Layout),Women's,6,99,SOPHIA SCHWARTZ,,,3,,,
Pittsburgh (En Sabah Nur),Men's,6,0,PETER MCCLOSKEY,,"6'4""",,,,
Pittsburgh (En Sabah Nur),Men's,6,2,JOSEPH BENDER,,"5'10""",9,4,,
Pittsburgh (En Sabah Nur),Men's,6,3,PATRICK EARLES,,"6'2""",6,26,,
Pittsburgh (En Sabah Nur),Men's,6,5,SAUL GRAVES,,,8,2,,
Pittsburgh (En Sabah Nur),Men's,6,7,RICHARD BOYLE,,"5'9""",,2,,
Pittsburgh (En Sabah Nur),Men's,6,8,TYLER KUNSA,,,4,16,,
Pittsburgh (En Sabah Nur),Men's,6,9,CARL MORGENSTERN,,,,,,
Pittsburgh (En Sabah Nur),Men's,6,10,MAX THORNE,,"5'7""",9,8,,
Pittsburgh (En Sabah Nur),Men's,6,11,KYLE HARTLEY,,"6'3""",1,,,
Pittsburgh (En Sabah Nur),Men's,6,12,KEVIN TANG,,"5'8""",,,,
Pittsburgh (En Sabah Nur),Men's,6,13,ANDREW LEHMBERG,,,2,,,
Pittsburgh (En Sabah Nur),Men's,6,15,DYLAN BEST,,,4,2,,
Pittsburgh (En Sabah Nur),Men's,6,16,TRENT DILLON,,"5'11""",6,4,,
Pittsburgh (En Sabah Nur),Men's,6,17,MATTHEW HANNA,,,1,,,
Pittsburgh (En Sabah Nur),Men's,6,18,Stephen Shaw,,"6'2""",1,,,
Pittsburgh (En Sabah Nur),Men's,6,22,CHRISTIAN PITTS,,,12,2,,
Pittsburgh (En Sabah Nur),Men's,6,24,SAM VANDUSEN,,"6'0""",3,2,,
Pittsburgh (En Sabah Nur),Men's,6,26,Robert Lincoln,,"5'11""",,1,,
Pittsburgh (En Sabah Nur),Men's,6,36,DAN WICKENS,,,,,,
Pittsburgh (En Sabah Nur),Men's,6,38,JONAH WISCH,,,1,3,,
Pittsburgh (En Sabah Nur),Men's,6,42,MARCUS RANII-DROPCHO,,,11,6,,
Pittsburgh (En Sabah Nur),Men's,6,43,DANIEL O'CONNOR,,"5'10""",1,,,
Pittsburgh (En Sabah Nur),Men's,6,48,JIMMY TOWLE,,"5'9""",,,,
Pittsburgh (En Sabah Nur),Men's,6,77,Dillon Tranquillo,,,,,,
Pittsburgh (En Sabah Nur),Men's,6,81,Vince Tranquillo,,"6'2""",,,,
Virginia (Hydra),Women's,5,0,Rukmini Basu,,,,,,
Virginia (Hydra),Women's,5,0,Susie Frechter,,,,,,
Virginia (Hydra),Women's,5,0,ALLISON HAHN,,,1,,,
Virginia (Hydra),Women's,5,0,RALEIGH HEAP,,,,,,
Virginia (Hydra),Women's,5,0,Mady McLennan,,,,,,
Virginia (Hydra),Women's,5,0,Samantha Newman,,,,,,
Virginia (Hydra),Women's,5,0,Jianna Torre,,,,,,
Virginia (Hydra),Women's,5,1,Emma Price,,"5'5""",5,,,
Virginia (Hydra),Women's,5,7,JANIE MOCKRISH,,,7,1,,
Virginia (Hydra),Women's,5,9,LAURA LANDIS,,,2,2,,
Virginia (Hydra),Women's,5,10,NADA TRAMONTE,,,10,8,,
Virginia (Hydra),Women's,5,11,KATHRYN HANNUM,,,3,,,
Virginia (Hydra),Women's,5,12,EMILY LEIVY,,,,,,
Virginia (Hydra),Women's,5,13,ALIKA JOHNSTON,,,3,19,,
Virginia (Hydra),Women's,5,14,AMY WEDMORE,,,5,7,,
Virginia (Hydra),Women's,5,20,Anna Lockwood,,,,,,
Virginia (Hydra),Women's,5,22,Kiera Givens,,"5'10""",,1,,
Virginia (Hydra),Women's,5,23,MICHELE DERIEUX,,,,7,,
Virginia (Hydra),Women's,5,24,Kelly Ross,,,,,,
Virginia (Hydra),Women's,5,27,REBECCA MEEKER,,"5'6""",5,4,,
Virginia (Hydra),Women's,5,30,BROGAN JONES,,"5'2""",,2,,
Virginia (Hydra),Women's,5,31,SARAH HANSEN,,"1'0""",10,5,,
Virginia (Hydra),Women's,5,32,REBECCA DRIVER,,"5'8""",3,1,,
Virginia (Hydra),Women's,5,34,IBBY HAN,,"1'0""",,,,
Virginia (Hydra),Women's,5,36,Delia Goldin,,"5'8""",,,,
Virginia (Hydra),Women's,5,44,KEILA STRICK,,,10,5,,
Virginia (Hydra),Women's,5,52,TESS WARNER,,,2,7,,
Virginia (Hydra),Women's,5,54,SARAI ARBUS,,,3,,,
Texas (TUFF),Men's,5,1,SIDNEY WATTS,,,,1,,
Texas (TUFF),Men's,5,2,GAVIN MURPHY,,,1,4,,
Texas (TUFF),Men's,5,4,MITCHELL SMARDA,,,,,,
Texas (TUFF),Men's,5,6,Garrett Idler,,,6,2,,
Texas (TUFF),Men's,5,7,JORDAN TAYLOR,,"6'2""",1,5,,
Texas (TUFF),Men's,5,8,HAGEN FRITZ,,"6'1""",1,3,,
Texas (TUFF),Men's,5,10,CONNOR BREEN,,,4,,,
Texas (TUFF),Men's,5,11,DILLON LARBERG,,"6'2""",9,8,,
Texas (TUFF),Men's,5,12,SHAWN STONE,,"1'0""",,1,,
Texas (TUFF),Men's,5,13,Nash Mock,,"5'9""",3,4,,
Texas (TUFF),Men's,5,14,DENNIS MERWORTH,,,,,,
Texas (TUFF),Men's,5,15,JOEY HEMANN,,"5'7""",,,,
Texas (TUFF),Men's,5,16,MICHAEL HAYS,,"5'10""",8,4,,
